"","actin","cd3","cd4","cd45","cd45ro","collageni","cytokeratin","fibulin2","lyve1","podoplanin","cd38","cd138","InferredCellType"
"343",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"344",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"345",0,0,0,1,0,0,0,0,0,0,0,0,"T-cells Mixed"
"346",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"347",0,0,0,0,0,0,1,0,0,1,0,1,"Mixed"
"348",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"349",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"350",0,0,0,0,1,0,0,0,0,0,0,1,"Mixed"
"351",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"352",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"353",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"354",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"355",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"356",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"357",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"358",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"359",0,0,0,0,0,0,1,0,0,0,0,1,"Epithelial cells"
"360",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"361",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"362",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"363",0,0,1,0,0,0,0,0,0,0,0,0,"T-cells Mixed"
"364",0,0,0,1,0,0,0,0,0,1,0,1,"Mixed"
"365",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"366",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"367",0,0,0,0,0,1,1,0,0,0,0,1,"Mixed"
"368",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"369",0,0,0,0,0,1,0,0,0,0,0,0,"Extracellular matrix"
"370",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"371",0,0,0,0,0,0,0,0,0,1,0,1,"Mixed"
"372",1,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"373",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"374",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"375",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"376",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"377",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"378",0,0,0,0,0,0,0,0,0,0,0,1,"Mixed"
"379",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"380",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"381",1,0,0,0,1,1,0,1,0,0,0,0,"Mixed"
"382",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"383",0,0,0,0,0,0,0,0,0,1,0,0,"Lymphatic vessel"
"384",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"385",1,0,0,0,1,1,0,0,0,0,0,0,"Mixed"
"386",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"387",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"388",0,0,0,0,1,0,0,0,0,0,0,0,"T-cells Mixed"
"389",0,0,0,0,0,1,0,1,0,0,0,0,"Extracellular matrix"
"390",0,0,0,0,0,0,1,0,0,1,0,0,"Mixed"
"391",0,0,0,0,0,0,0,0,0,0,0,0,"Other"
